"Restaurant"; "Preis";"Score"; "Beschreibung";"Begleitung";
"Kazumi";"23,80";"8";"M10/Matcha Latte. Sehr nice.";"Fabian";"Ost";
"La Muro";"7";"10";"Kalb Döner, wild absolut wild. 40min angestanden";"Mathis";"Linden Limmer";
"Berliner Döner";"8";"4";"Döner Menü, Pommes und Fanta Exotic waren nice. Döner war nix, ein guter Bissen nur.";"Leon";"Nord";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";
"";"";"";"";"";"";